NET,PDUT,TDUT,CON1_Name,CON1_X,CON1_Y,CON1_Type,CON2_Name,CON2_X,CON2_Y,CON2_Type,CON3_Name,CON3_X,CON3_Y,CON3_Type,Layer,TPD_M2N,TPD_M2N_NRM,TPD_M2N_STD,TSM_M2N,TSM_FFI,TSM_DIFF,TSM_DIFF_NRM,TSM_DIFF_STD,TSM_M2N_NRM,TSM_M2N_STD,EMPTY,LESS
2_SA7_S2_a_11,981,1715,LGA35_1.C29,138.2803 ,176.1482 ,THROUGH,L981_DQ0.1,26.4900 ,63.0000 ,THROUGH,L981.DQ0_WT,25.4900 ,56.0000 ,BOTTOM,TOP-BOTTOM,2.480 ,0.67 ,1.55 ,8.52 ,8.16 ,0.36 ,0.56 ,3.95 ,0.72 ,2.79 ,,
2_SA6_S1_b_19,982,1580,LGA34_2.B14,123.3779 ,208.5115 ,THROUGH,L982_DQ0.1,27.4900 ,63.0000 ,THROUGH,L982.DQ0_WT,25.4900 ,51.0000 ,BOTTOM,TOP-BOTTOM,2.484 ,0.69 ,1.64 ,8.34 ,8.24 ,0.10 ,0.16 ,0.30 ,0.67 ,1.08 ,,
2_SA6_S1_b_17,983,1578,LGA34_2.B10,125.4679 ,211.9221 ,THROUGH,L983_DQ0.1,32.2900 ,63.0000 ,THROUGH,L983.DQ0_WT,25.4900 ,46.0000 ,BOTTOM,TOP-BOTTOM,2.500 ,0.75 ,2.01 ,8.24 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.13 ,,
2_SA6_S1_b_25,984,1582,LGA34_2.B26,115.2792 ,195.2956 ,THROUGH,L984_DQ0.1,33.2900 ,63.0000 ,THROUGH,L984.DQ0_WT,25.4900 ,41.0000 ,BOTTOM,TOP-BOTTOM,2.520 ,0.82 ,2.46 ,8.22 ,8.14 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.06 ,,
2_SA4_S4_a_35,986,1445,LGA36_3.C13,187.4042 ,155.1267 ,THROUGH,L986_DQ0.1,24.4900 ,36.0000 ,THROUGH,L986.DQ0_WT,25.4900 ,30.0000 ,BOTTOM,TOP-BOTTOM,2.432 ,0.51 ,0.45 ,8.28 ,8.18 ,0.10 ,0.16 ,0.30 ,0.65 ,0.51 ,,
2_SA4_S4_a_43,987,1449,LGA36_3.C29,172.5763 ,142.4624 ,THROUGH,L987_DQ0.1,23.4900 ,36.0000 ,THROUGH,L987.DQ0_WT,25.4900 ,25.0000 ,BOTTOM,TOP-BOTTOM,2.431 ,0.50 ,0.42 ,8.24 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.13 ,,
2_SA4_S4_a_49,988,1451,LGA36_4.C09,194.6672 ,152.7819 ,THROUGH,L988_DQ0.1,47.0900 ,36.0000 ,THROUGH,L988.DQ0_WT,25.4900 ,20.0000 ,BOTTOM,TOP-BOTTOM,2.373 ,0.30 ,-0.90 ,8.26 ,8.20 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.32 ,,
2_SA4_S4_a_57,989,1455,LGA36_4.C25,179.8393 ,140.1176 ,THROUGH,L989_DQ0.1,51.0900 ,36.0000 ,THROUGH,L989.DQ0_WT,32.2900 ,15.0000 ,BOTTOM,TOP-BOTTOM,2.399 ,0.39 ,-0.31 ,8.22 ,8.22 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.06 ,,
2_SA4_S4_a_51,990,1453,LGA36_4.C13,191.6256 ,150.1841 ,THROUGH,L990_DQ0.1,31.2900 ,6.0000 ,THROUGH,L990.DQ0_WT,32.2900 ,10.0000 ,BOTTOM,TOP-BOTTOM,2.389 ,0.35 ,-0.54 ,8.26 ,8.14 ,0.12 ,0.19 ,0.58 ,0.64 ,0.32 ,,
2_SA4_S4_a_33,991,1443,LGA36_3.C09,190.4458 ,157.7245 ,THROUGH,L991_DQ0.1,34.2900 ,0.0000 ,THROUGH,L991.DQ0_WT,32.2900 ,5.0000 ,BOTTOM,TOP-BOTTOM,2.416 ,0.45 ,0.08 ,8.18 ,8.12 ,0.06 ,0.09 ,-0.26 ,0.62 ,-0.44 ,,
1_SA4_S4_a_1,992,309,LGA04_1.C09,215.6485 ,-121.3008 ,THROUGH,L992_DQ0.1,33.2900 ,0.0000 ,THROUGH,L992.DQ0_WT,32.2900 ,-1.0000 ,BOTTOM,TOP-BOTTOM,2.419 ,0.46 ,0.15 ,8.30 ,8.22 ,0.08 ,0.13 ,0.02 ,0.66 ,0.70 ,,
1_SA4_S4_a_3,993,311,LGA04_1.C13,212.2379 ,-119.2108 ,THROUGH,L993_DQ0.1,51.0900 ,-36.0000 ,THROUGH,L993.DQ0_WT,32.2900 ,-6.0000 ,BOTTOM,TOP-BOTTOM,2.422 ,0.47 ,0.22 ,8.22 ,8.14 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.06 ,,
1_SA4_S4_a_9,994,313,LGA04_1.C25,199.0220 ,-111.1121 ,THROUGH,L994_DQ0.1,63.8900 ,-37.0000 ,THROUGH,L994.DQ0_WT,32.2900 ,-11.0000 ,BOTTOM,TOP-BOTTOM,2.461 ,0.61 ,1.11 ,8.28 ,8.12 ,0.16 ,0.25 ,1.14 ,0.65 ,0.51 ,,
1_SA4_S4_a_11,995,315,LGA04_1.C29,195.6114 ,-109.0221 ,THROUGH,L995_DQ0.1,48.0900 ,-36.0000 ,THROUGH,L995.DQ0_WT,25.4900 ,-16.0000 ,BOTTOM,TOP-BOTTOM,2.405 ,0.41 ,-0.17 ,8.24 ,8.14 ,0.10 ,0.16 ,0.30 ,0.64 ,0.13 ,,
1_SA4_S4_a_19,996,319,LGA04_2.C13,208.8416 ,-124.7530 ,THROUGH,L996_DQ0.1,37.2900 ,-36.0000 ,THROUGH,L996.DQ0_WT,25.4900 ,-21.0000 ,BOTTOM,TOP-BOTTOM,2.413 ,0.44 ,0.01 ,8.16 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
